,PRICE,PRICE,PRICE,PRICE,EMA,ema_period
,open,high,low,close,,
Timestamp,,,,,,
2023-05-04 17:30:00,1875.979748793,1877.6779676696,1869.0165488903,1877.3639964023,1877.3639964023,25
2023-05-04 21:00:00,1877.5720857226,1877.9007182547,1871.1992756971,1876.2872462158,1877.281169464877,25
2023-05-05 00:30:00,1876.4496981756,1906.858070378,1876.4496981756,1896.0933119782,1878.7282573505172,25
2023-05-05 04:00:00,1896.2106124255,1906.6723784196,1895.9996953875,1896.4196313105,1880.089132270516,25
2023-05-05 07:30:00,1896.6094060777,1904.0932368776,1895.6323411032,1902.9887469099,1881.8506410889304,25
2023-05-05 11:00:00,1903.2335982993,1941.5626241942,1894.8819847086,1936.9508221776,1886.0891165572898,25
2023-05-05 14:30:00,1937.3994632502,2005.2157656006,1937.3994632502,1993.3316603936,1894.3385430062367,25
2023-05-05 18:00:00,1993.133764056,1995.1808557283,1973.5641486887,1991.2228182019,1901.7911795597495,25
2023-05-05 21:30:00,1991.0848898131,2013.9876735985,1987.5228557142,2004.2556938498,1909.673065274369,25
2023-05-06 01:00:00,2004.0657879506,2004.0657879506,1967.7993342401,1970.6811819793,1914.3659973285944,25
2023-05-06 04:30:00,1970.6811819793,1970.6811819793,1959.7852552906,1961.1092900431,1917.9616352297103,25
2023-05-06 08:00:00,1961.1092900431,1961.1092900431,1926.5563743611,1931.6307641087,1919.0131066819404,25
2023-05-06 11:30:00,1931.5133904739,1935.8658109966,1876.5113745512,1879.8287021303,1915.9989217164295,25
2023-05-06 15:00:00,1879.4879792247,1892.8704613482,1866.590305501,1892.8704613482,1914.219809380412,25
2023-05-06 18:30:00,1893.084107298,1906.0945287167,1888.843641037,1897.6833557854,1912.9477744884882,25
2023-05-06 22:00:00,1897.5953299141,1919.0143538851,1896.8676936175,1919.0143538851,1913.4144344420738,25
2023-05-07 01:30:00,1918.6076021956,1918.6076021956,1892.9489724604,1895.6487920243,1912.0478465637837,25
2023-05-07 05:00:00,1895.6487920243,1912.6041459871,1895.6487920243,1912.2644309483,1912.0645069010543,25
2023-05-07 08:30:00,1912.1727307503,1912.1727307503,1901.4371172834,1905.5044105575,1911.5598841053966,25
2023-05-07 12:00:00,1905.5044105575,1933.9215903944,1905.5044105575,1923.2240626511,1912.4571286089122,25
2023-05-07 15:30:00,1923.1572755994,1924.0711207123,1911.7554654076,1914.5725936973,1912.6198566926344,25
2023-05-07 19:00:00,1914.2567233951,1922.2356624169,1906.7841768708,1915.9010014282,1912.872252441524,25
